state,sex,year,population
"W.P. Putrajaya",Both,2021,115.2
"W.P. Putrajaya",female,2021,58.5
"W.P. Putrajaya",Male,2021,56.7
"W.P. Putrajaya",Both,2022,117
"W.P. Putrajaya",female,2022,59.4
"W.P. Putrajaya",Male,2022,57.6
"W.P. Putrajaya",Both,2023,118.8
"W.P. Putrajaya",female,2023,60.2
"W.P. Putrajaya",Male,2023,58.6
"W.P. Putrajaya",Both,2024,120.3
"W.P. Putrajaya",female,2024,60.8
"W.P. Putrajaya",Male,2024,59.4
"W.P. Putrajaya",Both,2025,120.8
"W.P. Putrajaya",female,2025,61.2
"W.P. Putrajaya",Male,2025,59.5
