state,year,sex,population
"Negeri Sembilan",1975,both,538
"Negeri Sembilan",1975,female,268
"Negeri Sembilan",1975,male,270
"Negeri Sembilan",1976,both,544
"Negeri Sembilan",1976,female,271
"Negeri Sembilan",1976,male,273
"Negeri Sembilan",1977,both,552
"Negeri Sembilan",1977,female,275
"Negeri Sembilan",1977,male,276
"Negeri Sembilan",1978,both,559
"Negeri Sembilan",1978,female,279
"Negeri Sembilan",1978,male,280
"Negeri Sembilan",1979,both,566
"Negeri Sembilan",1979,female,283
"Negeri Sembilan",1979,male,284
"Negeri Sembilan",1980,both,577
"Negeri Sembilan",1980,female,288
"Negeri Sembilan",1980,male,289
"Negeri Sembilan",1981,both,587
"Negeri Sembilan",1981,female,293
"Negeri Sembilan",1981,male,294
"Negeri Sembilan",1982,both,599
"Negeri Sembilan",1982,female,298
"Negeri Sembilan",1982,male,300
"Negeri Sembilan",1983,both,611
"Negeri Sembilan",1983,female,304
"Negeri Sembilan",1983,male,307
"Negeri Sembilan",1984,both,624
"Negeri Sembilan",1984,female,310
"Negeri Sembilan",1984,male,314
"Negeri Sembilan",1985,both,638
"Negeri Sembilan",1985,female,317
"Negeri Sembilan",1985,male,322
"Negeri Sembilan",1986,both,654
"Negeri Sembilan",1986,female,324
"Negeri Sembilan",1986,male,330
"Negeri Sembilan",1987,both,669
"Negeri Sembilan",1987,female,332
"Negeri Sembilan",1987,male,337
"Negeri Sembilan",1988,both,684
"Negeri Sembilan",1988,female,338
"Negeri Sembilan",1988,male,345
"Negeri Sembilan",1989,both,698
"Negeri Sembilan",1989,female,346
"Negeri Sembilan",1989,male,353
"Negeri Sembilan",1990,both,713
"Negeri Sembilan",1990,female,353
"Negeri Sembilan",1990,male,361
"Negeri Sembilan",1991,both,726
"Negeri Sembilan",1991,female,359
"Negeri Sembilan",1991,male,367
"Negeri Sembilan",1992,both,742
"Negeri Sembilan",1992,female,366
"Negeri Sembilan",1992,male,375
"Negeri Sembilan",1993,both,757
"Negeri Sembilan",1993,female,373
"Negeri Sembilan",1993,male,384
"Negeri Sembilan",1994,both,772
"Negeri Sembilan",1994,female,380
"Negeri Sembilan",1994,male,392
"Negeri Sembilan",1995,both,788
"Negeri Sembilan",1995,female,387
"Negeri Sembilan",1995,male,400
"Negeri Sembilan",1996,both,803
"Negeri Sembilan",1996,female,394
"Negeri Sembilan",1996,male,409
"Negeri Sembilan",1997,both,818
"Negeri Sembilan",1997,female,401
"Negeri Sembilan",1997,male,417
"Negeri Sembilan",1998,both,834
"Negeri Sembilan",1998,female,408
"Negeri Sembilan",1998,male,426
"Negeri Sembilan",1999,both,850
"Negeri Sembilan",1999,female,415
"Negeri Sembilan",1999,male,434
"Negeri Sembilan",2000,both,866
"Negeri Sembilan",2000,female,423
"Negeri Sembilan",2000,male,443
"Negeri Sembilan",2001,both,884
"Negeri Sembilan",2001,female,431
"Negeri Sembilan",2001,male,453
"Negeri Sembilan",2002,both,900
"Negeri Sembilan",2002,female,439
"Negeri Sembilan",2002,male,462
"Negeri Sembilan",2003,both,917
"Negeri Sembilan",2003,female,446
"Negeri Sembilan",2003,male,471
"Negeri Sembilan",2004,both,934
"Negeri Sembilan",2004,female,454
"Negeri Sembilan",2004,male,480
"Negeri Sembilan",2005,both,950
"Negeri Sembilan",2005,female,462
"Negeri Sembilan",2005,male,489
"Negeri Sembilan",2006,both,967
"Negeri Sembilan",2006,female,469
"Negeri Sembilan",2006,male,498
